sentiment,content
joy,When the whole family gets together for a one week holiday.   Everybody feels free and the trip is well planned.  It works out  well and we enjoy ourselves.
fear,When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her,  she had gone to bed to sleep)
anger,When friends try to put me down or hurt me.  
sadness,Marriage crises.  Boredom.
disgust,When someone makes advances that one does not want.
shame,The discovery that one has only thought of oneself.
guilt,When I spanked a child in anger and later regretted it terribly.
joy,When I passed the first examination that I had to repeat.
fear,When I drove to Stockholm for the first time and drove off the  Stora Hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied  at the same time for an examination I had to repeat; my boyfriend  went to Greece for a holiday for a month.
disgust,When a dog is left whining outside a shop.
shame,When I promised to help a friend over a weekend and did not keep  the promise.
